make,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
subaru,gas,sedan,2145,four,108,82,32,37,7126
subaru,gas,sedan,2190,four,108,82,28,33,7775
subaru,gas,sedan,2340,four,108,94,26,32,9960
subaru,gas,sedan,2385,four,108,82,24,25,9233
subaru,gas,sedan,2510,four,108,111,24,29,11259
subaru,gas,wagon,2290,four,108,82,28,32,7463
subaru,gas,wagon,2455,four,108,94,25,31,10198
subaru,gas,wagon,2420,four,108,82,23,29,8013
subaru,gas,wagon,2650,four,108,111,23,23,11694
toyota,gas,hatchback,1985,four,92,62,35,39,5348
toyota,gas,hatchback,2040,four,92,62,31,38,6338
toyota,gas,hatchback,2015,four,92,62,31,38,6488
toyota,gas,wagon,2280,four,92,62,31,37,6918
toyota,gas,wagon,2290,four,92,62,27,32,7898
toyota,gas,wagon,3110,four,92,62,27,32,8778
toyota,gas,sedan,2081,four,98,70,30,37,6938
toyota,gas,hatchback,2109,four,98,70,30,37,7198
toyota,diesel,sedan,2275,four,110,56,34,36,7898
toyota,diesel,hatchback,2275,four,110,56,38,47,7788
toyota,gas,sedan,2094,four,98,70,38,47,7738
toyota,gas,hatchback,2122,four,98,70,28,34,8358
toyota,gas,sedan,2140,four,98,70,28,34,9258
toyota,gas,sedan,2169,four,98,70,29,34,8058
toyota,gas,hatchback,2204,four,98,70,29,34,8238
toyota,gas,sedan,2265,four,98,112,26,29,9298
toyota,gas,hatchback,2300,four,98,112,26,29,9538
toyota,gas,hardtop,2540,four,146,116,24,30,8449
toyota,gas,hardtop,2536,four,146,116,24,30,9639
toyota,gas,hatchback,2551,four,146,116,24,30,9989
toyota,gas,hardtop,2679,four,146,116,24,30,11199
toyota,gas,hatchback,2714,four,146,116,24,30,11549
toyota,gas,convertible,2975,four,146,116,24,30,17669
toyota,gas,sedan,2326,four,122,92,29,34,8948
toyota,diesel,sedan,2480,four,110,73,30,33,10698
toyota,gas,hatchback,2414,four,122,92,27,32,9988
toyota,gas,sedan,2414,four,122,92,27,32,10898
toyota,gas,hatchback,2458,four,122,92,27,32,11248
toyota,gas,hatchback,2976,six,171,161,20,24,16558
toyota,gas,hatchback,3016,six,171,161,19,24,15998
toyota,gas,sedan,3131,six,171,156,20,24,15690
toyota,gas,wagon,3151,six,161,156,19,24,15750
volkswagen,diesel,sedan,2261,four,97,52,37,46,7775
volkswagen,gas,sedan,2209,four,109,85,27,34,7975
volkswagen,diesel,sedan,2264,four,97,52,37,46,7995
volkswagen,gas,sedan,2212,four,109,85,27,34,8195
volkswagen,gas,sedan,2275,four,109,85,27,34,8495
volkswagen,diesel,sedan,2319,four,97,68,37,42,9495
volkswagen,gas,sedan,2300,four,109,100,26,32,9995
volkswagen,gas,convertible,2254,four,109,90,24,29,11595
volkswagen,gas,hatchback,2221,four,109,90,24,29,9980
volkswagen,gas,sedan,2661,five,136,110,19,24,13295
volkswagen,diesel,sedan,2579,four,97,68,33,38,13845
volkswagen,gas,wagon,2563,four,109,88,25,31,12290
volvo,gas,sedan,2912,four,141,114,23,28,12940
volvo,gas,wagon,3034,four,141,114,23,28,13415
volvo,gas,sedan,2935,four,141,114,24,28,15985
volvo,gas,wagon,3042,four,141,114,24,28,16515
volvo,gas,sedan,3045,four,130,162,17,22,18420
volvo,gas,wagon,3157,four,130,162,17,22,18950
volvo,gas,sedan,2952,four,141,114,23,28,16845
volvo,gas,sedan,3049,four,141,160,19,25,19045
volvo,gas,sedan,3012,six,173,134,18,23,21485
volvo,diesel,sedan,3217,six,145,106,26,27,22470
volvo,gas,sedan,3062,four,141,114,19,25,22625
